Sequencer Count,Start_Time(in sec),End_Time(in sec),Execution Time(in msec),Jitter(in msec)
1691,1566078443.407725,1566078443.407799,0.074625,-0.100012
1692,1566078443.507713,1566078443.507784,0.070810,-0.099988
1693,1566078443.607712,1566078443.607780,0.067949,-0.099999
1694,1566078443.707717,1566078443.707792,0.074625,-0.100005
1695,1566078443.807718,1566078443.807791,0.072479,-0.100001
1696,1566078443.907725,1566078443.907811,0.085831,-0.100007
1697,1566078444.007711,1566078444.007779,0.067234,-0.099987
1698,1566078444.107711,1566078444.107782,0.070810,-0.099999
1699,1566078444.207714,1566078444.207783,0.069618,-0.100003
1700,1566078444.307715,1566078444.307783,0.067949,-0.100001
1701,1566078444.407777,1566078444.407841,0.063896,-0.100062
1702,1566078444.507721,1566078444.507790,0.069141,-0.099944
1703,1566078444.607772,1566078444.607835,0.062704,-0.100051
1704,1566078444.707772,1566078444.707836,0.063181,-0.100001
1705,1566078444.807774,1566078444.807838,0.063896,-0.100002
1706,1566078444.907769,1566078444.907831,0.062704,-0.099995
1707,1566078445.007720,1566078445.007789,0.069380,-0.099951
1708,1566078445.107774,1566078445.107836,0.062704,-0.100054
1709,1566078445.207723,1566078445.207794,0.070810,-0.099950
1710,1566078445.307720,1566078445.307790,0.069857,-0.099997
1711,1566078445.407780,1566078445.407858,0.078440,-0.100059
1712,1566078445.507722,1566078445.507792,0.070572,-0.099942
1713,1566078445.607713,1566078445.607773,0.059843,-0.099992
1714,1566078445.707716,1566078445.707787,0.070810,-0.100003
1715,1566078445.807719,1566078445.807789,0.069141,-0.100003
1716,1566078445.907721,1566078445.907793,0.072479,-0.100001
1717,1566078446.007719,1566078446.007792,0.073195,-0.099998
1718,1566078446.107716,1566078446.107783,0.066996,-0.099998
1719,1566078446.207717,1566078446.207787,0.069857,-0.100001
1720,1566078446.307714,1566078446.307786,0.071287,-0.099997
1721,1566078446.407713,1566078446.407784,0.071049,-0.099999
1722,1566078446.507711,1566078446.507780,0.068188,-0.099998
1723,1566078446.607726,1566078446.607818,0.091791,-0.100014
1724,1566078446.707712,1566078446.707783,0.070572,-0.099986
1725,1566078446.807715,1566078446.807786,0.070572,-0.100003
1726,1566078446.907715,1566078446.907791,0.075817,-0.100000
1727,1566078447.007721,1566078447.007799,0.078678,-0.100006
1728,1566078447.107715,1566078447.107792,0.076771,-0.099995
1729,1566078447.207716,1566078447.207787,0.071526,-0.100000
1730,1566078447.307714,1566078447.307787,0.072479,-0.099999
1731,1566078447.407713,1566078447.407787,0.074387,-0.099999
1732,1566078447.507718,1566078447.507802,0.083447,-0.100005
1733,1566078447.607712,1566078447.607779,0.067472,-0.099993
1734,1566078447.707721,1566078447.707798,0.076532,-0.100010
1735,1566078447.807715,1566078447.807787,0.072479,-0.099993
1736,1566078447.907724,1566078447.907818,0.093460,-0.100010
1737,1566078448.007719,1566078448.007794,0.074387,-0.099995
1738,1566078448.107713,1566078448.107783,0.070095,-0.099993
1739,1566078448.207714,1566078448.207788,0.073671,-0.100002
1740,1566078448.307711,1566078448.307778,0.066757,-0.099997
1741,1566078448.407718,1566078448.407789,0.070572,-0.100007
1742,1566078448.507713,1566078448.507784,0.071526,-0.099995
1743,1566078448.608079,1566078448.608146,0.066996,-0.100366
1744,1566078448.707714,1566078448.707785,0.071049,-0.099635
1745,1566078448.807710,1566078448.807784,0.073910,-0.099997
1746,1566078448.907714,1566078448.907782,0.068188,-0.100004
1747,1566078449.007713,1566078449.007787,0.073671,-0.099999
1748,1566078449.107713,1566078449.107785,0.071526,-0.100000
1749,1566078449.207715,1566078449.207782,0.066280,-0.100002
1750,1566078449.307714,1566078449.307791,0.076532,-0.099999
1751,1566078449.407715,1566078449.407792,0.077486,-0.100001
1752,1566078449.507765,1566078449.507835,0.070810,-0.100050
1753,1566078449.607710,1566078449.607781,0.071287,-0.099945
1754,1566078449.707711,1566078449.707781,0.070333,-0.100001
1755,1566078449.807714,1566078449.807786,0.072479,-0.100003
1756,1566078449.907713,1566078449.907779,0.066519,-0.099999
1757,1566078450.007712,1566078450.007782,0.069857,-0.099999
1758,1566078450.107719,1566078450.107785,0.066042,-0.100007
1759,1566078450.207713,1566078450.207785,0.072479,-0.099994
1760,1566078450.307712,1566078450.307776,0.064135,-0.099999
1761,1566078450.407716,1566078450.407795,0.079155,-0.100004
1762,1566078450.507717,1566078450.507787,0.070095,-0.100001
1763,1566078450.607712,1566078450.607780,0.067472,-0.099995
1764,1566078450.707711,1566078450.707776,0.064135,-0.099999
1765,1566078450.807714,1566078450.807786,0.072718,-0.100002
1766,1566078450.907711,1566078450.907784,0.072956,-0.099998
1767,1566078451.007713,1566078451.007788,0.075102,-0.100002
1768,1566078451.107712,1566078451.107783,0.070810,-0.099999
1769,1566078451.207717,1566078451.207790,0.072718,-0.100005
1770,1566078451.307714,1566078451.307786,0.072002,-0.099997
1771,1566078451.407711,1566078451.407778,0.067234,-0.099997
1772,1566078451.507717,1566078451.507785,0.067472,-0.100006
1773,1566078451.607714,1566078451.607787,0.072956,-0.099997
1774,1566078451.707716,1566078451.707803,0.086308,-0.100002
