S1 Count,Start_Time(in sec),End_Time(in sec),Image_Capture_Time(in msec),Jitter(in msec)
478,1566078322.107871,1566078322.122701,14.829636,-0.100018
479,1566078322.207787,1566078322.222616,14.828444,-0.099916
480,1566078322.307875,1566078322.322742,14.867067,-0.100087
481,1566078322.407890,1566078322.422759,14.869690,-0.100015
482,1566078322.507881,1566078322.522762,14.881134,-0.099991
483,1566078322.607788,1566078322.622614,14.825821,-0.099907
484,1566078322.707865,1566078322.722681,14.815807,-0.100077
485,1566078322.807797,1566078322.822631,14.833927,-0.099931
486,1566078322.907827,1566078322.922790,14.963150,-0.100030
487,1566078323.007841,1566078323.022791,14.950037,-0.100013
488,1566078323.107820,1566078323.122822,15.001774,-0.099980
489,1566078323.207830,1566078323.222820,14.989138,-0.100010
490,1566078323.307837,1566078323.322775,14.937162,-0.100007
491,1566078323.407834,1566078323.422782,14.948606,-0.099996
492,1566078323.507831,1566078323.522733,14.902830,-0.099997
493,1566078323.607843,1566078323.622794,14.950991,-0.100012
494,1566078323.707826,1566078323.722738,14.911890,-0.099983
495,1566078323.807825,1566078323.822794,14.969349,-0.099999
496,1566078323.907825,1566078323.923014,15.189171,-0.100000
497,1566078324.007825,1566078324.022769,14.944315,-0.100000
498,1566078324.107827,1566078324.122738,14.911413,-0.100002
499,1566078324.207856,1566078324.222875,15.018702,-0.100030
500,1566078324.307833,1566078324.322844,15.011311,-0.099977
501,1566078324.407831,1566078324.422741,14.910460,-0.099998
502,1566078324.507829,1566078324.522714,14.884949,-0.099998
503,1566078324.607829,1566078324.622828,14.998913,-0.100000
504,1566078324.707823,1566078324.722711,14.887571,-0.099994
505,1566078324.807831,1566078324.822670,14.839172,-0.100008
506,1566078324.907841,1566078324.922738,14.896870,-0.100010
507,1566078325.007826,1566078325.022716,14.889956,-0.099985
508,1566078325.107824,1566078325.122731,14.907360,-0.099998
509,1566078325.207826,1566078325.222685,14.858961,-0.100002
510,1566078325.307821,1566078325.322742,14.921427,-0.099995
511,1566078325.407834,1566078325.422729,14.894485,-0.100013
512,1566078325.507836,1566078325.522768,14.931917,-0.100002
513,1566078325.607846,1566078325.622777,14.930487,-0.100010
514,1566078325.707831,1566078325.722750,14.919043,-0.099985
515,1566078325.807837,1566078325.822742,14.904737,-0.100007
516,1566078325.907831,1566078325.922690,14.858961,-0.099994
517,1566078326.007831,1566078326.022676,14.844656,-0.100000
518,1566078326.107829,1566078326.122718,14.889002,-0.099998
519,1566078326.207827,1566078326.222728,14.900684,-0.099998
520,1566078326.307845,1566078326.322745,14.899731,-0.100018
521,1566078326.407832,1566078326.422726,14.894009,-0.099987
522,1566078326.507838,1566078326.522800,14.962196,-0.100005
523,1566078326.607838,1566078326.622805,14.967203,-0.100000
524,1566078326.707824,1566078326.722789,14.964581,-0.099987
525,1566078326.807837,1566078326.822780,14.942408,-0.100013
526,1566078326.907854,1566078326.922760,14.905930,-0.100017
527,1566078327.007849,1566078327.022747,14.897346,-0.099996
528,1566078327.107828,1566078327.122762,14.934540,-0.099978
529,1566078327.207832,1566078327.222747,14.914989,-0.100004
530,1566078327.307828,1566078327.322701,14.872789,-0.099996
531,1566078327.407844,1566078327.422826,14.981747,-0.100016
532,1566078327.507837,1566078327.522710,14.872551,-0.099993
533,1566078327.607834,1566078327.622746,14.912128,-0.099997
534,1566078327.707833,1566078327.722739,14.905930,-0.099999
535,1566078327.807866,1566078327.822854,14.987707,-0.100033
536,1566078327.907832,1566078327.922724,14.891863,-0.099965
537,1566078328.007827,1566078328.022755,14.927387,-0.099996
538,1566078328.107841,1566078328.122800,14.958382,-0.100014
539,1566078328.207823,1566078328.222780,14.956713,-0.099981
540,1566078328.307833,1566078328.322868,15.035152,-0.100010
541,1566078328.407834,1566078328.422684,14.850378,-0.100001
542,1566078328.507833,1566078328.522790,14.957666,-0.099999
543,1566078328.607830,1566078328.622729,14.899254,-0.099997
544,1566078328.707842,1566078328.722751,14.909744,-0.100012
