S2 Count,Start_Time(in sec),End_Time(in sec),Image_Dump_Time(in msec),Jitter(in sec)
5374,1566078811.722834,1566078811.740448,17.614126,-0.100025
5375,1566078811.822869,1566078811.840551,17.682314,-0.100035
5376,1566078811.922866,1566078811.940485,17.618418,-0.099998
5377,1566078812.022692,1566078812.040419,17.726183,-0.099826
5378,1566078812.122733,1566078812.140404,17.670155,-0.100041
5379,1566078812.222784,1566078812.240458,17.674685,-0.100050
5380,1566078812.322829,1566078812.340465,17.636538,-0.100045
5381,1566078812.422685,1566078812.440387,17.701626,-0.099856
5382,1566078812.522791,1566078812.540423,17.632246,-0.100106
5383,1566078812.622712,1566078812.640387,17.675638,-0.099921
5384,1566078812.722649,1566078812.740326,17.676592,-0.099937
5385,1566078812.822581,1566078812.840277,17.695427,-0.099932
5386,1566078812.922730,1566078812.940348,17.617226,-0.100149
5387,1566078813.022652,1566078813.040312,17.660379,-0.099921
5388,1566078813.122589,1566078813.140239,17.649412,-0.099937
5389,1566078813.222572,1566078813.240247,17.674923,-0.099983
5390,1566078813.322573,1566078813.340218,17.644405,-0.100001
5391,1566078813.422627,1566078813.440314,17.686844,-0.100054
5392,1566078813.522568,1566078813.540229,17.660141,-0.099941
5393,1566078813.622698,1566078813.640287,17.589331,-0.100130
5394,1566078813.722640,1566078813.740316,17.675400,-0.099942
5395,1566078813.822618,1566078813.840277,17.658949,-0.099977
5396,1566078813.922638,1566078813.940296,17.657995,-0.100020
5397,1566078814.022571,1566078814.040231,17.659664,-0.099933
5398,1566078814.122646,1566078814.140326,17.680407,-0.100075
5399,1566078814.222560,1566078814.240237,17.677069,-0.099914
5400,1566078814.322555,1566078814.340240,17.685175,-0.099995
5401,1566078814.422638,1566078814.440291,17.653227,-0.100083
5402,1566078814.522666,1566078814.540287,17.621517,-0.100028
5403,1566078814.622606,1566078814.640278,17.672062,-0.099940
5404,1566078814.722705,1566078814.740337,17.632246,-0.100100
5405,1566078814.822744,1566078814.840475,17.730474,-0.100039
5406,1566078814.922768,1566078814.940473,17.704487,-0.100024
5407,1566078815.022772,1566078815.040392,17.619371,-0.100004
5408,1566078815.122701,1566078815.140384,17.683268,-0.099929
5409,1566078815.222659,1566078815.240399,17.740250,-0.099957
5410,1566078815.322840,1566078815.340462,17.622471,-0.100181
5411,1566078815.422695,1566078815.440398,17.703056,-0.099855
5412,1566078815.522669,1566078815.540355,17.686129,-0.099973
